phone,region,title,description,address
 (03) 5433 6218 ,Goldfields,Toolleen Golf Club,11 hole course with sand greens.,"Golf Course Road, Toolleen, VIC"
 (03) 5463 2222 ,Goldfields,Talbot Golf Club,"Talbot Golf Club has very well grassed predominantly flat fairways. A picturesque creek runs across the course. The sand greens are large and topped with fine sand. Wildlife including kangaroos, wallabies and echidnas are often seen and there is an abundance of bird life. Many wonderful old gum trees provide nesting for these birds.","Lexton Rd, Talbot, VIC 3371"
 (03) 5438 7328 ,Goldfields,Tarnagulla Golf Club,"We don’t have a description for this course just yet. If you’ve played this golf course before and you’d like to help out your fellow golfers, you can use our contact form to send us a description of this course so that we can keep other golfers informed.","Gladstone St, Tarnagulla, VIC 3551"
 (03) 5797 2314 ,Wine and High Country,Yea Golf Club,They offer you golf all year round at this attractive course just 2 hours from the CBD. They boast 18 grass greens on an attractive course nestled in the hills. Twilight golf is a feature here in Yea commencing at the beginning of daylight savings.,"Racecourse Road, Yea, VIC 3712"
 (03) 5985 1334 ,Mornington and Bellarine Peninsula,The Dunes Golf Links,"Since opening the re-designed Tony Cashmore championship course in 1997, The Dunes Golf Links has set the benchmark by re-defining the standard for public access golf in Australia.,From its inception, The Dunes has pursued an ambitious goal; to bring world class golf within the reach of every player. By creating a public golf facility that was comparable to many of the world’s most revered courses, this commitment has seen The Dunes achieve the distinction of being rated #1 public access golf course in Australia and #17 in Australia overall (#15 – 2005).,As a visitor to The Dunes, you will be accorded a VIP status traditionally reserved for members of only the most exclusive private golf clubs. There are a multitude of reasons why The Dunes is regarded as one of Australia’s finest golf courses; come and see why for your self.","335 Browns Rd, Rye, VIC 3941"
 (02) 6027 1669 ,Wine and High Country,Yackandandah Golf Club,9 hole course. Challenging sand green course in quiet and peaceful surrounds.,"Racecourse Rd, Yackandandah, VIC 3749"
 (03) 5494 3133 ,Murray Outback,Wedderburn Golf Club,"A small country club with a total membership of about 100. Open for six months ie. April to October. Very good fairways after rain break, usually from June onwards. Visitors with handicaps welcome to play in competitions.","Racecourse Rd, Wedderburn, VIC 3518"
 (03) 5081 2028 ,Murray Outback,Woomelang Golf Club,9 hole course.,"Sunraysia Hwy, Woomelang, VIC 3485"
,Mornington and Bellarine Peninsula,Thirteenth Beach – The Creek Course,"The Creek Course is characterised by gently undulating couch fairways, huge, deep bunkers filled with yellow sand, and by firm true greens surrounded by interesting bumps, swales and hollows, all closely mown, as well as plenty of greenside bunkering that cuts into and helps mould the slopes of the putting surfaces in the best traditions of Melbourne’s Sand Belt  much admired by Faldo, who has spoken previously of his love affair with Mackenzie’s work at Royal Melbourne.,The native couch fairways have been oversewn with fescues, and this should provide both an excellent, green playing surface year round, and a quick transition back to couch dominance in spring.  Beyond the fairways there is generally a wide zone of maintained short rough prior to either long pasture grasses or the residential areas under development.,There are some quirky elements too, like the ‘square cut’ tees, the creek itself, and the creative use of a few remaining pines in hole strategy","Barwon Heads Road, Barwon Heads, VIC 3227"
 (03) 5254 2922 ,Mornington and Bellarine Peninsula,Thirteenth Beach – The Beach Course,"The Beach Course set tongues wagging when it opened for play in December of 2001. Players lucky enough to experience the golf course in its infancy, were treated to a raw and immature beast. Long rough, firm and fast greens, and the formidable presence of mother nature all contributing to make the scoring of par a difficult task. In just two months the course was already rated amongst Australia’s best coming in at number 22 in Golf Australia’s top 100 golf courses. Since then the golf course has only improved. The rough and the greens have been tamed making the golf course more playable for everybody, yet still a tremendous challenge for even the best of players. Good play is being rewarded with good scoring, as The Beach Course continues its rise up the Australian golf rankings.,” Thirteenth Beach is unique in its two courses – The already famous Beach Course in the dunes has a strong and wonderful links character, whilst the second course has a feel of the very best of Melbourne’s sand belt through its gently rolling terrain and broadly separated fairways. There is a big choice to make here – which course will I play?”,Tony Cashmore – Leading Australian Course Designer, and designer of the critically acclaimed The Dunes Golf Links.,The Beach Course is unique in its design. Like many modern golf courses, The Beach Course features a large residential precinct. The first four holes play away from the clubhouse winding through the majority of houses. The fifth tee is the beginning of what Thirteenth Beach has become famous for, wonderful links land, rolling through a series of dramatic and natural golf holes that look and feel like they were there long before a golf development was planned.,But perhaps the key feature of The Beach Course is its wonderful set of par 3’s. Starting at the brutal 180m 3rd hole to the dainty yet sinister 113m 16th, the par threes of The Beach Course offer golfers of all levels a true test of their iron play, yet are mouth watering to the eye.,The Beach Course is a wonderful test of any golfer’s ability. Offering everything that makes golf such a superb game. A golf course that is playable to golfers of all levels with beautifully manicured fairways, greens and bunkers and a strategic design that offers the ultimate in risk reward golf for even the most elite of players. The Beach Course truly is 18 holes of golfing splendour.","Barwon Heads Road, Barwon Heads, VIC 3227"
 (03) 9822 5909 ,Mornington and Bellarine Peninsula,St Andrews Beach Golf Club,"Located in ‘The Cups’ region of the Mornington Peninsula and metres  from the thundering surf of Gunnamatta Beach, St Andrews Beach Golf  Course originally opened as an exclusive members course and debuted as  the 9th best course in Australia in 2006. It is built on a stunning  piece of land that lends itself perfectly to the tradition of the famous  links courses of Britain and Ireland and can be compared favourably  with the courses in Melbourne’s famous sandbelt region.  Internationally  renowned golf course architect, Tom Doak is the designer of this  classic 18 hole links style course and his aim was to create one of the  best golf courses in the world.,As was the case with his other Australian masterpiece – Barnbougle  Dunes, Doak’s design philosophies and the nature of the land itself  provide a unique golfing experience with generous fairways and truly  spectacular greens. Whilst most links style courses conjure up thoughts  of strong winds, the natural valleys and trees that make up the  landscape of St Andrews Beach offer protection from the elements on many  holes, and combined with the soil type of the area you have a great  course that can be enjoyed by all players alike 12 months of the year.,Competition play is at St Andrews Beach  with regular events being scheduled for the The Tom Doak Back Tee Challenge  (pdf, 67kb’s) which continues to gather momentum as the year comes to  an end.  The Tom Doak Back Tee Challenge is played on the second  Saturday of the Month.","209 Sundy Rd, St Andrews Beach, VIC"
 (03) 5984 2626 ,Mornington and Bellarine Peninsula,Sorrento Golf Club,"Sorrento Golf Club is located on the southern coast of the state of Victoria, Australia, about 1 1/2 hours drive south from the city of Melbourne and 1 1/2 hours drive from Melbourne International Airport. It is a well groomed, hilly course with all year playability set on a sand and limestone base.,It’s generous fairways and roughs are surrounded by densely wooded plantations, and bent grass greens are moderately to heavily bunkered. When Melbourne’s early stalwarts travelled to the Mornington Peninsula for their holidays, they took their golf along with them.,The Sorrento Golf Club became the “Royal Melbourne of the South”, a course built on classic lines, borrowed from the original, for the joy and pleasure of golfers good and bad – 18 holes, each with a character all its own, challenging you to a rematch, over and over again. The Club invites you to share its treasure, enjoy its beauty and record a score you can boast about.","Langford Rd, Sorrento, VIC 3943"
 (03) 9782 2599 ,Mornington and Bellarine Peninsula,Skye Public Golf Course,9 hole course.,"Cnr Ballarto and Taylor Rds, Skye, VIC 3977"
 (03) 5981 0100 ,Mornington and Bellarine Peninsula,Safety Beach Golf Course,Safety Beach Country Club is probably the best value on the Mornington Peninsula. The recently renovated 18 Hole golf course boasts lush green fairways and quality greens all year round. The short but challenging layout is easy on the eye and the feet. Memberships available and visitors welcome 7 days a week. New Club rooms and Pro Shop.,"Country Club Dr, Safety Beach, VIC 3936"
 (03) 5891 2833 ,Mornington and Bellarine Peninsula,Rosebud Park Public Golf Course,"Situated on the steep slopes of Arthurs Seat overlooking Rosebud and Port Phillip Bay. The Course provides some spectacular views of the coast line down to Rye, Blairgowrie and Sorrento with shipping and boat traffic on the bay, together with the rural and agricultural lands of the Mornington Peninsula. The 18 hole course has watered fairways, wonderful putting greens, some extremely challenging holes, a resident teaching professional, plenty of parking, and excellent picnic facilities. The Course is in the care of the Department of Natural Resources and Environment and they have delegated the management of this public reserve to a Committee of Management.","Elizabeth Dr, Rosebud, VIC 3939"
 (03) 5986 2338 ,Mornington and Bellarine Peninsula,Rosebud Country Club – South Course,"Located in the heart of the Mornington Peninsula.  The Pro Shop contains  all golfing equipment clothing, hire carts and golf lessons. The  clubhouse has a function room and boardroom and players are welcome in  the clubhouse and restaurant.","207 Boneo Rd, Rosebud, VIC 3939"
 (03) 5941 4083 ,Mornington and Bellarine Peninsula,Pakenham Golf Club,"Pakenham Golf Club consists of 18 holes with grass greens and Santa Anna fairways, which makes for an exciting and challenging layout. Several water features dot the course, which is flat and therefore easy walking which suits golfers of all ages and abilities. Membership is available with competitions played on Monday, Wednesday, Thursday, Saturday and Sunday. Green fees players are able to use both the course and clubhouse facilities. You will be assured of a warm welcome.","25 Oaktree Dr, Pakenham, VIC 3810"
 (03) 5986 2338 ,Mornington and Bellarine Peninsula,Rosebud Country Club – North Course,"Located in the heart of the Mornington Peninsula.  The Pro Shop contains all golfing equipment clothing, hire carts and golf lessons. The clubhouse has a function room and boardroom and players are welcome in the clubhouse and restaurant.","207 Boneo Rd, Rosebud, VIC 3939"
 (03) 9369 7984 ,Mornington and Bellarine Peninsula,RAAF Williams Golf Club,9 hole course.,"RAAF Base, Laverton, VIC"
 (03) 5988 2088 ,Mornington and Bellarine Peninsula,Moonah Links (Open Course),"“The Open Course at Moonah Links is the first ever 18 holes built and prepared for a national championship, with exceptional viewing platforms for spectators. It is one of the longest courses in Australia, and probably in the world in this category.,It measures 6783 metres, so it offers more than a casual stroll in the outdoors. It is a mighty and ferocious test of golfing ability, the likes of which even the top pros only occasionally experience. In terms of difficulty, I estimate a club-handicapped player would merit an extra eight strokes assistance to return a net par score, yet the course has great flexibility. It can be played at many different lengths depending on tees selected. Indeed, it is expected that the total length will only seldom be used for the real championship occasion. In addition to its condusive natural contours, the site is blessed with ever-present wind of some direction and strength, and this enhances its attributes. Planning has arranged that no particular direction is especially helpful, it is always a factor. The Leviathan of a course is a new experience for Australian golf.","Peter Thompson Drive, Rye, VIC 3941"
 (03) 5984 2909 ,Mornington and Bellarine Peninsula,Portsea Golf Club,,"Relph Ave, Portsea, VIC 3944"
 (03) 5221 3592 ,Mornington and Bellarine Peninsula,Queens Park Public Golf Course,"We don’t have a description for this course just yet. If you’ve played this golf course before and you’d like to help out your fellow golfers, you can use our contact form to send us a description of this course so that we can keep other golfers informed.","Queens Park Rd, Newtown, VIC 3220"
 (03) 5259 3361 ,Mornington and Bellarine Peninsula,Portarlington Golf Club,"The Portarlington Golf Course is an excellent 18 hole course on Victoria’s magnificent Bellarine Peninsula. Portarlington is a tree lined, challenging course with a wonderful variety of golf holes, pure putting surfaces and excellent year round conditioning.","130 Hood Rd, Portarlington, VIC 3223"
 (03) 5256 2795 ,Mornington and Bellarine Peninsula,Ocean Grove Golf Club,"We don’t have a description for this course just yet. If you’ve played this golf course before and you’d like to help out your fellow golfers, you can use our contact form to send us a description of this course so that we can keep other golfers informed.","Guthridge St, Ocean Grove, VIC 3226"
 (03) 5258 4344 ,Mornington and Bellarine Peninsula,Queenscliff Golf Club,"Queenscliff Golf Course provides an unique island setting with fresh air, natural beauty and tranquillity. The beauty of the course is never lost on golfers, and it changes with the seasons and the time of day. Swan Island is a protected marine reserve with an abundance of birdlife. The views across Swan Bay change with the brush of nature, including views towards the township of Queenscliff and the Bellarine Peninsula. The tranquillity is only disturbed by the train whistles from Queenscliff Station and the birdlife. Significant birds include the Orange Bellied Parrot, the Royal Spoonbill, Magpies, Blue Wrens, Plovers, Swans and Pelicans. The other advantage of being on an island built up by drifting sand is that the course is an all weather course, regardless of heavy rain the course is always playable.","Swan Island, Queenscliff, VIC 3225"
 (03) 5974 2266 ,Mornington and Bellarine Peninsula,Mt Martha Public Golf Course,"Mt Martha Public Golf Course caters for all golfers, social to serious low handicapped players looking for a challenge. This tree-lined course has views of Port Phillip, the Dandenong and the Otway ranges. The course is irrigated in summer months and has 27 new bunkers. The santa-ana couch grass fairways and bentgrass greens are playable all year.","Forest Dr, Mt Martha, VIC 3934"
 (03) 5975 4171 ,Mornington and Bellarine Peninsula,Mornington Golf Club,This course is set high on the clifftops with spectacular views over Port Phillip Bay and the Melbourne Skyline. Only 1 hours drive from Melbourne this is one course not to be missed.,"Tallis Dr, Mornington, VIC 3931"
 (03) 5988 2088 ,Mornington and Bellarine Peninsula,Moonah Links (Legends Course),"The Legends Course stands as a tribute to past champions who have contributed to the rich history of Australian golf. In contrast to the Open Course, which was purpose built to challenge the modern champion, the Legends Course will be a more friendly golfing experience for players of all ages and abilities. The course is a loop of 18 holes that generally follow the valleys through a variety of landscapes ranging from ancient Moonah woodlands to open links land. The fairways are generous and the putting surfaces gentle, but the bunkering style is bold and wild in appearance. At 6,315 metres, the course should be fun, but it won’t be a pushover. We trust the Legends Course will do justice to the champions it honours and will inspire others to emulate their feats.","Peter Thompson Drive, Rye, VIC 3941"
 (03) 5659 6284 ,Mornington and Bellarine Peninsula,Lang Lang Golf Club,"Lang Lang Golf Club is commonly referred to as the “Augusta of Gippsland”. It has 18 classic holes set among commanding gum trees with tight fairways that demand accuracy and not necessarily distance from the tee. The course was designed in 1963 by former Australian Open winner, George Naismith and takes advantage of sensational bay views from the 1st tee. It is built on a sand-belt and provides excellent conditions all year round. The fairways are couch and a new watering system has enabled lush green fairways throughout the long summer months. The club has a full bar and dining facilities and visitors are most welcome. The visiting player often feels he is the only golfer on the course such is the seclusion offered by the tall eucalypts, definitely no ducking for cover when playing this golf course. Green fee players are welcome to play at anytime, except Saturday morning. Special rates are offered to mid week social groups with more than 10 players. New members are welcome.","South Gippsland Hwy, Lang Lang, VIC 3984"
 (03) 5262 1575 ,Mornington and Bellarine Peninsula,Inverleigh Golf Club,"Inverleigh Golf Club is situated 27kms west of Geelong off the Hamilton Highway on 56 hectares of local heavily picturesque timbered bushland. The course features well grassed fairways which bring strategically placed trees into play and sandscrapes which are among the best in the district. Local wildlife including kangaroos and wallabies are prominent around the course, and there is an abundance of bird life. The course is in its best condition between the months of March to November. Social groups are always welcome, bookings preferred. The club trophy cabinet holds a special plaque presented by Mr Peter Dawson, Secretary of The Royal & Ancient Golf Club of St Andrews – a unique privilege for a golf club in Australia. The plaque commemorates a visit by R & A officials in November 2000 to play nine holes and sample sand greens golf first-hand.","Common Rd, Inverleigh, VIC 3321"
,Mornington and Bellarine Peninsula,Cranbourne Golf Club,"The Cranbourne Golf Club is recognised as one of Victoria’s outstanding golf courses, located approximately 30 kilometers southeast from the Melbourne CBD.,It is a par 72 layout of 6194m designed by architect, Sam Berriman, in the 1950’s. Berriman, who after his respected work at Huntingdale, applied his art to the creation and development of Cranbourne.,The course took over two years to construct and was officially opened by Syd Kaufman on April 9, 1954. The course has matured into an attractive and challenging championship golf course.","South Gippsland Hwy, Cranbourne VIC 3977"
 (03) 5629 2794 ,Mornington and Bellarine Peninsula,Garfield Golf Club,Garfield Golf Course is a country undulating course within easy reach of Melbourne but with a picturesque country outlook. Short course kind to the beginner but offers a challenge to the low marker.,"Thirteen Mile Road, Garfield, VIC 3814"
 (03) 5989 0312 ,Mornington and Bellarine Peninsula,Flinders Golf Club,"Situated atop the cliff tops overlooking Bass Strait and Westernport Bay, Flinders provides a wonderful golfing experience combining the sense of tradition that comes with being over one hundred years old with top quality playing conditions. As you play the 4th hole, the coffin, let your mind wander back to the day in 1926 when the most famous golf course architect of them all, Dr Alistair Mackenzie convinced the committee of the day to change the hole from a Par 3 to introduce carries over both ravines. Or as you play the 5th, with the wind blowing in off Bass Strait, picture a young Peter Thomson honing his skills on this links style Par 5 in preparation for his assault on the Open Championship.","Bass St, Flinders, VIC 3929"
 (03) 5282 1582 ,Mornington and Bellarine Peninsula,Elcho Park Golf Club,"At Lara, about 15 minutes drive north of Geelong. The 18-hole par 71 layout is mainly flat but well treed. The greens are watered and there are a number of water hazards. You will share your round with the local fauna, including Cape Barren geese.","Elcho Raod, Lara, VIC 3212"
 (03) 5229 3634 ,Mornington and Bellarine Peninsula,East Geelong Golf Club,"On the edge of the city, in the vast Eastern Park beside Corio Bay. The nine-hole course has alternate tees, making it a par 72 of 5,638 metres. It is generally flat and in a beautiful setting. The fourth hole runs along the cliff-top overlooking Corio Bay.","Eastern Park, Geelong, VIC 3220"
 (03) 5978 8470 ,Mornington and Bellarine Peninsula,Devilbend Golf Club,"Devilbend Golf Club is the sleeping giant of the Mornington Peninsula, this club offers the most challenging course with beautiful country atmosphere. Whether you need a challenge, relaxation, or just a break away from everyday life. So grab your family and friends and enjoy a day at Devilbend Golf Club.","Loders Rd, Moorooduc, VIC 3933"
 (03) 5251 1111 ,Mornington and Bellarine Peninsula,Curlewis Golf Club,"Set on rolling terrain, this 6106 metre par 72 layout provides a stimulating challenge to every level of golfer. Undulating fairways and greens offer variety in shotmaking and require precision in approach shots overall. Curlewis offers a taste of British heathland golf with wide rolling fairways and large, fast greens.","1345 Portarlington Rd, Curlewis, VIC 3222"
 (03) 5985 1334 ,Mornington and Bellarine Peninsula,Cups Golf Course,"In addition to the 18 hole championship course, the Dunes also has a The Cups Course which is a 9 hole course. The 9 Hole Cups Course is a delightful Par 33 and is very popular with seniors, juniors and local residents. The 9 Hole Cups Course has 4 par threes, four par fours and 1 par five and is still a challenge even for the avid golfer.","335 Browns Rd, Rye, VIC 3941"
 (03) 5253 1488 ,Mornington and Bellarine Peninsula,Clifton Springs Golf Club,"The Clifton Springs Golf Club is situated on the Bellarine Peninsula just 20 minutes from Geelong on the Portarlington Road in Clifton Springs and only 20 minutes from the Queenscliff Sorrento Ferry. Clifton Springs Golf Club offers an 18 hole grass greens golf course with magnificent views overlooking Corio Bay. Full clubhouse facilities including the Tabaret gaming room, dining room and members bar. This is supplemented with a fully stocked Pro shop with P.G.A. members available for lessons. Green fee and social groups most welcome.","92-94 Clearwater Dr, Clifton Springs, VIC 3222"
 (03) 9700 4494 ,Mornington and Bellarine Peninsula,Churchill Park Golf Club,"Churchill Park Golf Club is located in Endeavour Hills, Victoria,  adjacent to Churchill National Park. Our 18-hole signature west course  is a par 72 that measures 6,037 metres from the championship tees. It is  a beautifully designed dog-leg golf course with couch grass fairways.  Our challenging greens and tree-lined fairways will provide a real test  of your golfing ability.  We have a second course that is a shorter 9 holes, which is ideal for  beginners and those that prefer a friendlier test. Many native birds  and marsupials call both of our courses home and kangaroos are often in  full view during daylight hours.  Playing golf at Churchill Park is an experience. Trees provide the  backdrop when playing and it is from the balcony of the clubhouse that  the vista of Endeavour Hills looms over the tree-line.  The clubhouse is available for all types of functions inluding weddings, engagements and birthdays. The golf courses and clubhouse are also available for corporate golf days. Our staff are ready, willing and more than able to see that your needs and expectations are surpassed.  To fully appreciate the beautiful locale, plus our facilities and  amenities, either come and see for yourself or book your next game and  function at Churchill Park Golf Club.","Churchill Park Dr, Endeavour Hills, VIC 3802"
 (03) 5243 5443 ,Mornington and Bellarine Peninsula,Barwon Valley Golf Club,"We don’t have a description for this course just yet. If you’ve played this golf course before and you’d like to help out your fellow golfers, you can use our contact form to send us a description of this course so that we can keep other golfers informed.","Barwon Head Road, Belmont, VIC 3126"
 (03) 5287 1234 ,Mornington and Bellarine Peninsula,Barunah Plains Golf Club,10 hole course.,"Hamilton Highway, Inverleigh, VIC"
 (03) 5250 3891 ,Mornington and Bellarine Peninsula,Bellarine Lakes Golf Park,"Bellarine Lakes is a challenging Championship layout that can be enjoyed by golfers of all standards. After the round you can enjoy the hospitality of owners Con and Leonie Maheras in the relaxed atmosphere of the clubhouse. Visitors are welcome every day of the year Ladies Competitions are held each Tuesday, Friday (during daylight saving), Saturday and Sunday with all welcome. Mens Competitions are held each Wednesday, Friday (during daylight saving), Saturday and Sunday with all welcome. A well contoured course built on flat terrain with terrific features including 5 separate water hazards, 30 man made undulating bunkers and large accommodating greens. Magnificent views of Reedy Lakes wetlands from the far holes with an abundance of bird life make this a truly wonderful course.","402-404 Bellarine Hwy, Moolap, VIC 3221"
 (03) 9789 1480 ,Mornington and Bellarine Peninsula,Centenary Park Public Golf Course,"Centenary Park Golf Course is one of Melbournes best public courses. It is less than an hours drive from Melbourne at the gateway to the Mornington Peninsula and is becoming a regular stop for a growing number of players. As Centenary Park is one of the longest public courses in the state, improvments, particulary to the small elevated greens, will make it friendlier to the average golfer. As a “SIGNATURE HOLE” the present 15th hole, a 510m par 5 will be lengthened to more than 610m, making it one of the longest golf holes in Australia.","McClelland Dr, Frankston North, VIC 3200"
 (03) 5950 8100 ,Mornington and Bellarine Peninsula,Cape Schanck Resort,"Located on Victoria’s spectacular Mornington Peninsula, a leisurely 90 minute drive from Melbourne, RACV Cape Schanck Resort offers all the ingredients for a great value holiday within a spectacular coastal environment.,All RACV members and their guests can relax in one of the 52 Ocean View accommodation rooms or 12 Condominiums, enjoy a round or two on the magnificent 18 hole, par 70 golf course or simply sit back and indulge in the superb regional produce that features throughout The Cape Restaurant.,Other onsite facilities for the enjoyment of guests include tennis courts, table tennis tables, a volleyball court, a heated swimming pool and a 4 km jogging track. RACV Cape Schanck is also the venue of choice for those seeking an inspirational conference and events destination with a range of flexible conference room options catering for groups up to 200.","Trent Jones Dr, Cape Schanck, VIC 3939"
 (03) 5983 6006 ,Mornington and Bellarine Peninsula,Cerberus Golf Club,"Cerberus Golf Club built in 1946 has recently opened to the public and is located on the grounds of HMAS Cerberus. It is a demanding 9 Hole, 18 Tee, Par 72 course with magnificent sea views overlooking Western Port Bay and Hanns Inlet. It is set amongst natural bushland and offers a challenging round for golfers of all standards.","Stoney Point Rd HMAS, Cerberus, VIC 3920"
 (03) 5281 1377 ,Mornington and Bellarine Peninsula,Bannockburn Golf Club,"We don’t have a description for this course just yet. If you’ve played this golf course before and you’d like to help out your fellow golfers, you can use our contact form to send us a description of this course so that we can keep other golfers informed.","Teesdale Road, Bannockburn, VIC 3331"
 (03) 5257 2343 ,Mornington and Bellarine Peninsula,St Leonards Golf Club,"The St Leonards Golf Club is an 18 hole, grass-greened country-style golf course situated on Victoria’s beautiful Bellarine Peninsula.,The St Leonards Golf Course began as a simple 9 hole golf course back in 1951 on local Arthur Blanches property. In 1966 9 further holes were added and in 2011 the course was updated and a new clubhouse was built. Seasoned golfers will note the unique layout of the course due to the infringing township creeping in. This offers a pleasant change and works well on this particular course.,The St Leonards Golf Club offers scenic slightly undulating fairways lined with coastal tea and gum trees. The par 3’s are long but the tee corridors are narrow and some of the greens quite small resulting in some challenging holes for even the most skilled of golfers.,This golf course is popular with local residents and draws a crowd from the surrounding towns of Portarlington and Indented Head. There is plenty of wildlife present on the course and even ocean views on the 8th & 9th holes.","282 Ibbotson Rd, St Leonards, VIC 3223"
 (03) 5988 6341 ,Mornington and Bellarine Peninsula,Eagle Ridge Golf Course,"In March 1988, 40 acres of land comprising the pre-existing Carlogie Golf Course was purchased with an additional 40 acres at the south end of this parcel also acquired. Major earthworks commenced with the bulldozing of the Carlogie Course and the total reconstruction of an 18 hole, Kevin Hartley designed championship course commenced. Hartley designed the course modelled on the prestigious Royal Melbourne, his vision for Eagle Ridge to be perceived as the ‘Royal Melbourne of the Mornington Peninsula’. The Eagle Ridge Golf Course opened in December 1989.","205 Browns Rd, Boneo, VIC 3939"
 (03) 5255 6275 ,Mornington and Bellarine Peninsula,Barwon Heads Golf Club,"The Links at Barwon Heads regularly rates in Australia’s top 30 courses. The nearby Bass Strait and sand dunes along with the weather conditions provide a links reminiscent of famed Scottish links. The undulating terrain, in harmony with the natural features of the land will ensure that you will remember time spent at Barwon Heads. While not especially long the Links will test golfers of all standards with cleverly positioned hazards, subtle slopes and greens, along with challenging tee positions. The wind ensures that the course rarely plays the same way twice in the one week. The turf is maintained to the highest standard and in the summer a local species of couch grass dominates the fairways. In the cooler months the species of Poa Annua provides an excellent fairway cover. The greens are predominantly of Poa Annua and are maintained to the highest standard. It is our practice that the greens be cut for guests every morning, so a true and fast surface is virtually assured.","Golf Links Road, Barwon Heads, VIC 3227"
